day,time,C01,C02,C06,C07_minus_C14,C11,C12,C13,C14,C15,C16,temperature,humidity,pressure
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.22353511706292,8.929073609198886,29.82621121382992
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.264983618483186,8.964781251796,29.82260294008567
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.30572903627765,9.000592327201401,29.81889546027207
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.34566292521884,9.036460806139086,29.815087970545076
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.38468157972058,9.072343328155872,29.8111794951896
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.42268640872536,9.10819936315357,29.807168877098764
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.45958422864707,9.1439913281008,29.803054770392915
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.495287477191376,9.179684660898104,29.79883563513303
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.52971435214141,9.215247854002191,29.794509734052653
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.56278888024043,9.250652450928238,29.79007513120453
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.59444092206504,9.28587300910481,29.785529692399084
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.62460611935357,9.320887032812594,29.780871087295225
8,201811081800,high,high,high,high,high,high,high,high,high,high,62.65322579056955,9.355674879904146,29.77609679296759
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.68024678742446,9.390219647051,29.771204098959835
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.705621305122634,9.424507035187164,29.766190113276167
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.72930667128131,9.458525201599013,29.761051769666395
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.75126510657597,9.49226460007442,29.755785835692826
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.77146346825723,9.525717813129715,29.750388921583525
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.789872981181325,9.55887937920728,29.744857489723195
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.80646896143255,9.591745616954816,29.739187864657076
8,201811081800,high,high,high,high,high,normal,high,high,high,high,62.821230536730845,9.62431445028166,29.7333762435262
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.72390276540739,8.52654857953418,29.86270547270524
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.76585005441546,8.557381354158744,29.860276975073255
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.80855616299914,8.588971052685771,29.85775193887892
8,201811081800,high,high,high,high,high,normal,high,high,high,high,61.85190418930025,8.621263998860137,29.855130326697562
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.89577232976434,8.654204303002786,29.85241216479835
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.94003488876777,8.687734407433894,29.84959751856174
8,201811081800,high,high,high,high,high,high,high,high,high,high,61.984563311228236,8.721795637966087,29.84668646728871
